distance_travelled,brand,engine_capacity,year_of_creation,engine_type,price,hp
225000.0,Киа,2.0,2011.0,бензин,1019000.0,150.0
374450.0,Рено,1.6,2010.0,бензин,435000.0,84.0
192500.0,БМВ,2.0,2013.0,бензин,1040000.0,136.0
280000.0,Тойота,2.0,2014.0,бензин,430000.0,135.0
10600.0,Рено,1.6,2020.0,бензин,1420000.0,102.0
160064.0,Peugeot,1.6,2015.0,бензин,580000.0,120.0
174000.0,Ауди,2.0,2014.0,бензин,2750000.0,249.0
86000.0,Хендай,2.0,2018.0,бензин,1949000.0,150.0
79000.0,Хавейл,2.0,2017.0,бензин,2049000.0,190.0
142000.0,Рено,1.6,2017.0,бензин,1099000.0,102.0
201000.0,Тойота,2.0,2015.0,бензин,1700000.0,150.0
256000.0,Мицубиси,3.0,2000.0,бензин,500000.0,177.0
405000.0,Додж,2.7,2002.0,бензин,333333.0,200.0
125000.0,Ниссан,1.2,2017.0,бензин,1459000.0,115.0
83570.0,Фольксваген,1.4,2018.0,бензин,2185300.0,125.0
130610.0,LADA,1.6,2018.0,бензин,895000.0,106.0
75000.0,Фольксваген,3.0,2018.0,дизель,6190000.0,286.0
119114.0,Фольксваген,2.0,2021.0,бензин,3950000.0,220.0
121000.0,Рено,1.6,2017.0,бензин,1380000.0,114.0
70000.0,Мерседес,3.0,2019.0,бензин,8750000.0,367.0
186042.0,Хендай,1.6,2015.0,бензин,849000.0,123.0
41848.0,LADA,1.6,2022.0,бензин,819000.0,90.0
167094.0,Фольксваген,2.0,2010.0,бензин,1199000.0,170.0
166137.0,Лексус,5.7,2015.0,бензин,5200000.0,367.0
124800.0,Хендай,2.0,2019.0,бензин,2220000.0,150.0
145800.0,Шевроле,1.8,2013.0,бензин,1050000.0,141.0
191700.0,Мерседес,1.8,2009.0,бензин,1220000.0,184.0
181000.0,Хендай,1.6,2010.0,бензин,800000.0,126.0
123.0,Эксид,2.0,2023.0,бензин,3750000.0,249.0
209213.0,Peugeot,1.6,2015.0,бензин,370000.0,109.0
70494.0,Фольксваген,1.6,2017.0,бензин,1240000.0,110.0
60448.0,Киа,1.6,2019.0,бензин,1750000.0,128.0
300000.0,Тойота,1.6,1996.0,бензин,240000.0,115.0
54000.0,Шкода,1.4,2005.0,бензин,185000.0,75.0
119000.0,Ленд,3.0,2021.0,дизель,7990000.0,249.0
96272.0,Фольксваген,2.0,2019.0,бензин,2700000.0,180.0
74400.0,Киа,2.5,2021.0,бензин,3500000.0,179.0
150267.0,Шкода,1.6,2013.0,бензин,750000.0,105.0
43900.0,LADA,1.8,2021.0,бензин,1470000.0,122.0
153968.0,Рено,2.0,2018.0,бензин,1530000.0,143.0
220000.0,Шевроле,1.6,2011.0,бензин,660000.0,124.0
361000.0,Фольксваген,1.6,1999.0,бензин,340000.0,100.0
127000.0,СсангЙонг,2.0,2013.0,бензин,1230000.0,149.0
132000.0,Форд,1.6,2014.0,бензин,920000.0,105.0
69000.0,Мицубиси,2.0,2018.0,бензин,2240000.0,146.0
215000.0,Ниссан,2.0,2011.0,бензин,1150000.0,141.0
149651.0,Тойота,2.2,2014.0,дизель,2678000.0,150.0
135000.0,Лада,1.6,2015.0,бензин,350000.0,89.0
128687.0,LADA,1.6,2021.0,бензин,1320000.0,90.0
90000.0,Рено,1.6,2018.0,бензин,1230000.0,114.0
49000.0,Ситроен,2.0,2020.0,дизель,4119000.0,150.0
202000.0,Ниссан,3.5,2009.0,бензин,1149000.0,249.0
192380.0,Опель,1.6,2007.0,бензин,335000.0,105.0
80000.0,ГАЗ,2.4,2024.0,бензин,380000.0,100.0
225000.0,Вольво,2.4,2010.0,дизель,2249000.0,181.0
101000.0,Шкода,1.6,2018.0,бензин,1645000.0,110.0
226000.0,Лада,1.6,2015.0,бензин,185000.0,89.0
238000.0,Мерседес,3.5,2005.0,бензин,890000.0,272.0
270000.0,БМВ,2.5,2013.0,бензин,1200000.0,218.0
204591.0,Киа,2.0,2014.0,бензин,1370000.0,150.0
286500.0,Киа,1.6,2006.0,бензин,260000.0,101.0
135400.0,Киа,1.2,2011.0,бензин,820000.0,85.0
177000.0,Ауди,3.0,2016.0,бензин,2590000.0,333.0
196000.0,Тойота,2.2,2014.0,дизель,2199998.0,150.0
177000.0,Шкода,1.2,2012.0,бензин,750000.0,105.0
175488.0,Мерседес,2.1,2017.0,дизель,2945000.0,204.0
249000.0,Тойота,4.0,2006.0,бензин,1750000.0,249.0
236000.0,Шевроле,1.7,2004.0,бензин,215000.0,80.0
358000.0,УАЗ,2.7,2010.0,бензин,205000.0,128.0
230500.0,Тойота,3.0,2012.0,дизель,2199000.0,170.0
207270.0,Киа,1.6,2014.0,бензин,920000.0,129.0
327000.0,Фольксваген,1.6,2015.0,бензин,700000.0,105.0
1620.0,Мерседес,1.6,2015.0,дизель,7300000.0,160.0
300000.0,Мицубиси,1.6,2005.0,бензин,270000.0,98.0
100000.0,Киа,2.5,2021.0,бензин,4200000.0,180.0
200000.0,Шкода,1.4,2013.0,бензин,1140000.0,140.0
260000.0,Тойота,4.0,2006.0,бензин,2750000.0,239.0
230000.0,LADA,1.6,2013.0,бензин,270000.0,87.0
54700.0,Чери,1.6,2018.0,бензин,1979000.0,186.0
99416.0,Тойота,2.7,2014.0,бензин,3479000.0,163.0
102000.0,Киа,2.0,2019.0,бензин,2199000.0,150.0
155000.0,Хендай,2.2,2018.0,дизель,3140000.0,190.0
153236.0,Шкода,1.4,2019.0,бензин,2330000.0,150.0
97326.0,Хендай,2.0,2021.0,бензин,1980000.0,150.0
187600.0,Киа,1.6,2016.0,бензин,1050000.0,123.0
20000.0,Эксид,2.0,2023.0,бензин,2917000.0,197.0
