Пробег,Марка,Объем двигателя,Год создания,Тип двигателя,Цена,Лошадиные силы,Расход,Кол-во мест,Трансмиссия
77 299,Донг, 1.6,30,бензин,750 000,117,7.4,5,АКПП
260 000,Peugeot, 2.0,407,бензин,290 000,136,0,- мест,-----
138 000,Киа, 1.6,2016,бензин,1 099 000,123,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
205 000,Шевроле, 1.5,2006,бензин,190 000,86,6.7,5,МКПП
87 000,Хендай, 1.8,2014,бензин,1 450 000,150,7.0,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
106 212,Киа, 2.5,5,бензин,2 650 000,194,0,- мест,-----
65 000,LADA, 1.6,2018,бензин,999 000,106,0,- мест,-----
40 000,Тойота, 2.0,4,бензин,3 899 000,149,6.6,5,Вариатор
73 000,Хендай, 2.0,2018,бензин,2 159 000,150,0,- мест,-----
300 000,Тойота, 2.0,4,бензин,1 419 000,158,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
346 222,Хендай, 1.5,2008,бензин,300 000,102,0,- мест,-----
36 667,Чери, 1.5,4,бензин,1 250 000,113,0,- мест,-----
140 000,Мерседес, 2.0,2019,дизель,3 450 000,194,4.8,5,АКПП
201 000,Рено, 1.4,2002,бензин,295 000,75,0,- мест,-----
200 000,Лада, 1.5,2106,бензин,170 000,72,0,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
314 000,Киа, 2.0,2010,бензин,809 000,141,8.0,5,МКПП
210 856,Хонда, 2.4,2013,бензин,1 540 000,180,0,- мест,-----
31 000,Мерседес, 3.0,2020,бензин,7 500 000,367,9.0,5,АКПП
90 000,Ситроен, 2.0,2021,дизель,3 399 000,150,6.2,8,АКПП
382 000,Джип, 3.6,2010,бензин,1 299 000,286,0,- мест,-----
120 448,LADA, 1.6,2020,бензин,1 149 000,106,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
170 000,Ленд, 5.0,2019,бензин,9 250 000,525,12.8,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
189 000,Сеат, 1.2,2013,бензин,899 000,105,4.8,5,Робот
242 000,Форд, 1.8,2008,бензин,600 000,125,7.0,5,МКПП
246 000,Ленд, 2.7,2007,дизель,1 199 000,190,10.2,5,АКПП
225 000,Киа, 2.0,2011,бензин,1 019 000,150,0,- мест,-----
374 450,Рено, 1.6,2010,бензин,435 000,84,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
192 500,БМВ, 2.0,3,бензин,1 040 000,136,7.8,5,АКПП
280 000,Тойота, 2.0,4,бензин,430 000,135,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
10 600,Рено, 1.6,2020,бензин,1 420 000,102,0,- мест,-----
160 064,Peugeot, 1.6,308,бензин,580 000,120,0,- мест,-----
174 000,Ауди, 2.0,4,бензин,2 750 000,249,0,- мест,-----
86 000,Хендай, 2.0,2018,бензин,1 949 000,150,0,- мест,-----
79 000,Хавейл, 2.0,7,бензин,2 049 000,190,9.4,5,Робот
,---,,0,-,No price,---,0,- мест,-----
142 000,Рено, 1.6,2017,бензин,1 099 000,102,0,- мест,-----
201 000,Тойота, 2.0,2015,бензин,1 700 000,150,7.2,5,АКПП
256 000,Мицубиси, 3.0,2000,бензин,500 000,177,0,5,АКПП
405 000,Додж, 2.7,2002,бензин,333 333,200,9.8,5,АКПП
125 000,Ниссан, 1.2,2017,бензин,1 459 000,115,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
83 570,Фольксваген, 1.4,2018,бензин,2 185 300,125,0,- мест,-----
130 610,LADA, 1.6,2018,бензин,895 000,106,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
24,Воях,,2023,-,5 380 000,---,0,- мест,-----
52 000,Сузуки, 1.4,2018,бензин,1 650 000,140,6.1,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
173 475,Volvo, 1.6,60,бензин,1 150 000,150,0,- мест,-----
160 000,Лада, 1.5,3,бензин,60 000,72,0,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
75 000,Фольксваген, 3.0,2018,дизель,6 190 000,286,6.6,5,АКПП
119 114,Фольксваген, 2.0,2021,бензин,3 950 000,220,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
121 000,Рено, 1.6,2017,бензин,1 380 000,114,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
845,БИД, гибр,2023,1.5 л,6 900 000,629,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
70 000,Мерседес, 3.0,2019,бензин,8 750 000,367,9.2,4 ,АКПП
186 042,Хендай, 1.6,2015,бензин,849 000,123,0,- мест,-----
41 848,LADA, 1.6,2022,бензин,819 000,90,0,- мест,-----
167 094,Фольксваген, 2.0,2010,бензин,1 199 000,170,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
166 137,Лексус, 5.7,570,бензин,5 200 000,367,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
124 800,Хендай, 2.0,2019,бензин,2 220 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
145 800,Шевроле, 1.8,2013,бензин,1 050 000,141,0,- мест,-----
191 700,Мерседес, 1.8,2009,бензин,1 220 000,184,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
181 000,Хендай, 1.6,30,бензин,800 000,126,6.9,5,АКПП
123,Эксид, 2.0,2023,бензин,3 750 000,249,7.6,5,Робот
209 213,Peugeot, 1.6,307,бензин,370 000,109,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
70 494,Фольксваген, 1.6,2017,бензин,1 240 000,110,0,- мест,-----
60 448,Киа, 1.6,2019,бензин,1 750 000,128,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
300 000,Тойота, 1.6,1996,бензин,240 000,115,0,5,АКПП
