Пробег,Марка,Объем двигателя,Год создания,Тип двигателя,Цена,Лошадиные силы,Расход,Кол-во мест,Трансмиссия
224 000,Фольксваген, 1.6,2016,бензин,800 000,110,5.9,5,АКПП
233 412,Шкода, 1.6,2008,бензин,520 000,102,7.4,5,МКПП
150 000,Додж, 6.7,2010,дизель,3 999 000,355,0,- мест,-----
239 784,Рено, 2.0,2018,бензин,939 777,143,0,- мест,-----
205 742,Тойота, 2.4,2007,бензин,1 150 000,167,0,- мест,-----
112 284,Форд, 1.5,2018,бензин,1 670 000,150,0,- мест,-----
92 000,Тойота, 1.8,2017,бензин,2 400 000,98,3.3,5,Вариатор
416 000,Ниссан, 1.5,2002,бензин,320 000,105,0,5,АКПП
185 982,Шкода, 1.8,2014,бензин,1 220 800,180,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
106 000,Мерседес, 3.0,2015,дизель,3 320 000,249,0,- мест,-----
302 000,Фольксваген, 1.6,1989,бензин,199 000,72,0,- мест,-----
234 900,Шевроле, 1.5,14,бензин,160 000,86,6.7,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
142 056,Рено, 2.0,2014,бензин,1 050 000,135,0,- мест,-----
177 000,Ниссан, 1.6,2008,бензин,350 000,107,0,- мест,-----
48 036,Киа, 3.0,2022,дизель,5 690 000,249,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
290 795,Форд, 1.6,2012,бензин,605 000,125,0,- мест,-----
146 898,LADA, 1.6,2005,бензин,215 000,81,0,- мест,-----
106 286,Мерседес, 3.5,2011,бензин,1 669 000,272,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
219 249,Фольксваген, 1.4,2014,бензин,999 000,122,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
97 855,Ниссан, 2.5,2018,бензин,2 250 000,171,0,- мест,-----
144 000,Киа, 1.6,2020,бензин,1 899 000,123,0,- мест,-----
51 000,Киа, 1.6,3,бензин,1 775 000,123,0,- мест,-----
93 843,Рено, 2.5,2013,бензин,1 542 444,171,0,- мест,-----
378 757,УАЗ, 2.3,2008,дизель,350 000,116,0,5,МКПП
370 916,Хендай, 1.6,2019,бензин,799 000,123,0,- мест,-----
118 000,Тойота, 2.5,2018,бензин,2 420 000,181,0,- мест,-----
247,Лада, 1.5,2112,бензин,80 000,91,7.2,5,МКПП
153 567,Мерседес, 3.0,2017,бензин,3 150 000,367,0,- мест,-----
160 000,Мазда, 2.3,7,бензин,885 000,238,0,- мест,-----
171 823,Фольксваген, 3.0,2018,дизель,3 149 000,224,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
195 300,Хендай, 1.6,2016,бензин,815 000,123,0,- мест,-----
114 819,Киа, 1.6,2019,бензин,1 280 000,123,0,- мест,-----
185 075,Мазда, 1.6,1999,бензин,200 000,106,0,- мест,-----
138 000,БМВ, 2.0,5,дизель,3 549 000,190,0,- мест,-----
59 996,Фольксваген, 1.6,2021,бензин,1 780 000,110,0,- мест,-----
36 000,Мазда, 2.5,5,бензин,3 300 000,194,7.2,5,АКПП
85 089,БМВ, 3.0,5,дизель,4 899 000,249,0,- мест,-----
189 425,Мерседес, 5.5,2013,бензин,4 750 000,544,13.8,5,АКПП
219 000,Форд, 2.0,2007,бензин,598 000,145,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
150 912,БМВ, 2.0,1,бензин,1 365 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
143 615,Форд, 1.5,2018,бензин,1 618 000,150,0,- мест,-----
207 541,Рено, 1.6,2007,бензин,415 000,87,0,- мест,-----
132 738,Тойота, 3.5,2019,бензин,2 920 500,249,0,- мест,-----
90 000,Тойота, 1.8,2015,бензин,1 550 000,99,0,5,Вариатор
250 000,БМВ, 1.9,3,бензин,600 000,118,7.9,0,МКПП
200 000,БМВ, 2.0,3,дизель,1 650 000,184,5.6,5,АКПП
45 193,Мерседес, 2.0,2022,дизель,5 710 000,194,5.4,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
299 000,Ленд, 3.0,2010,дизель,1 475 000,245,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
205 574,Форд, 1.4,2008,бензин,404 000,80,0,- мест,-----
64 653,Volvo, 2.0,90,дизель,5 190 000,197,0,- мест,-----
182 000,Мицубиси, 2.4,2012,бензин,1 249 000,167,0,- мест,-----
194 378,Шкода, 1.6,2012,бензин,795 000,105,7.9,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
165 000,Хонда, 2.0,2013,бензин,1 820 000,143,3.3,5,Вариатор
103 112,Тойота, 2.5,2019,бензин,2 640 000,181,0,- мест,-----
330 000,Тойота, 2.2,1997,дизель,450 000,91,0,- мест,-----
133 000,Форд, 2.0,2016,дизель,1 847 000,180,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
150 000,Мерседес, 1.6,2013,бензин,1 229 000,156,5.7,5,Робот
285 000,Volvo, 2.4,60,бензин,699 000,170,0,- мест,-----
120 861,СсангЙонг, 2.0,2014,бензин,1 210 000,149,0,- мест,-----
343 840,Тойота, 3.0,2014,дизель,2 871 000,173,0,- мест,-----
149 992,Джили, 2.4,2019,бензин,1 549 000,149,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
197 581,Шевроле, 1.6,1,бензин,550 000,115,0,- мест,-----
103 000,Peugeot, 1.6,308,бензин,649 000,120,6.9,5,АКПП
128 510,Инфинити, 2.5,50,бензин,1 964 000,222,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
168 422,Мерседес, 1.3,2019,бензин,1 710 000,136,5.6,5,Робот
,---,,0,-,No price,---,0,- мест,-----
116 467,Мицубиси, 2.0,2018,бензин,2 091 000,146,0,- мест,-----
187 055,Ниссан, 1.6,2,бензин,984 000,114,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
231 758,Субару, 2.0,2006,бензин,660 000,158,0,- мест,-----
102 011,Мазда, 2.0,5,бензин,2 370 000,150,7.0,5,АКПП
266 723,Рено, 2.0,2010,бензин,595 000,138,0,- мест,-----
180 000,Киа, 1.6,2008,бензин,365 000,101,0,5,АКПП
285 000,LADA, 1.6,2013,бензин,280 000,82,7.4,5,МКПП
245 000,Хендай, 1.6,2012,бензин,850 000,123,6.5,5,АКПП
120 000,Киа, 2.4,2016,бензин,2 100 000,188,8.3,5,АКПП
112 000,Хавейл, 2.0,7,бензин,1 679 000,190,8.8,5,Робот
174 000,Мини, 1.5,2014,бензин,1 900 000,136,5.0,5,АКПП
71 200,Лифан, 1.5,50,бензин,650 000,103,0,- мест,-----
38 869,Омода, 1.5,5,бензин,1 899 000,147,0,- мест,-----
430 000,БМВ, 1.6,3,бензин,380 000,99,0,4 ,МКПП
260 360,БМВ, 3.0,5,дизель,2 190 000,245,0,- мест,-----
300 000,Форд, 1.6,2004,бензин,160 000,100,0,- мест,-----
166 000,Рено, 1.6,2013,бензин,895 000,106,6.7,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
2 000,Хавейл, 2.0,7,бензин,3 099 999,190,8.4,5,Робот
14 000,Чери, 1.5,4,бензин,1 759 000,147,7.1,5,Вариатор
121 405,Ленд, 2.0,2017,бензин,3 635 000,250,0,- мест,-----
193 836,LADA, 1.8,2019,бензин,930 000,122,0,- мест,-----
164 261,Шкода, 1.8,2013,бензин,1 150 000,152,7.7,5,АКПП
15,Мерседес, 3.0,2024,дизель,19 500 000,367,0,- мест,-----
114 115,Рено, 2.0,2017,бензин,1 425 000,143,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
52 000,Москвич, 1.5,2140,бензин,200 000,75,0,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
109 308,Сеат, 1.2,2012,бензин,786 600,105,0,- мест,-----
204 884,Фольксваген, 1.4,2017,бензин,1 665 000,150,0,- мест,-----
228 000,Шевроле, 1.8,600,бензин,545 000,141,6.8,5,МКПП
60 000,Хавейл, 2.0,9,бензин,3 125 000,218,0,- мест,-----
109 004,Чери, 2.0,5,бензин,1 095 000,136,0,- мест,-----
270 000,Ауди, 2.0,5,бензин,1 399 000,211,0,- мест,-----
109,Zeekr,---,001,электро,6 087 000,---,0,- мест,-----
299 000,Тойота, 1.8,2003,бензин,500 000,132,0,- мест,-----
267 568,Форд, 1.8,2001,бензин,170 000,115,7.5,5,МКПП
170 000,Peugeot, 1.6,408,бензин,519 000,120,0,- мест,-----
44 500,Шкода, 1.6,2021,бензин,1 970 000,110,6.1,5,АКПП
52 000,Шкода, 2.0,2021,бензин,3 630 000,180,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
326 000,Лексус, 3.5,450,бензин,1 380 000,296,7.6,5,Вариатор
190 800,Шевроле, 1.6,2012,бензин,900 000,109,0,- мест,-----
230 969,Тойота, 4.0,2018,бензин,4 099 000,249,0,- мест,-----
68 000,LADA, 1.8,2016,бензин,790 000,122,0,- мест,-----
40 000,Джили, 2.4,2021,бензин,1 975 000,148,9.4,5,АКПП
121 000,Ситроен, 2.0,2019,дизель,1 620 000,150,0,- мест,-----
130 144,Хендай, 1.6,2019,бензин,1 429 444,123,0,- мест,-----
134 000,Фольксваген, 1.6,2011,бензин,900 000,102,6.7,5,Робот
143 719,Хонда, 2.4,2014,бензин,1 734 000,194,8.4,5,АКПП
121 000,Киа, 1.6,2020,бензин,1 419 000,123,6.8,5,АКПП
215 000,Фольксваген, 1.6,2012,бензин,649 000,105,0,- мест,-----
139 245,Хендай, 1.6,2017,бензин,1 259 000,123,0,- мест,-----
170 000,Киа, 3.8,2017,бензин,2 005 000,334,0,- мест,-----
67 194,Киа, 2.0,2020,бензин,2 195 000,150,0,- мест,-----
47 000,Чери, 1.5,4,бензин,1 549 000,147,7.2,5,Робот
,---,,0,-,No price,---,0,- мест,-----
192 000,Киа, 2.5,2008,дизель,698 000,170,0,- мест,-----
58 000,Хендай, 2.2,2022,дизель,5 500 000,200,7.3,7,АКПП
,---,,0,-,No price,---,0,- мест,-----
98 000,Киа, 2.0,2019,бензин,1 788 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
86 000,Ниссан, 2.0,2016,бензин,2 000 000,147,0,- мест,-----
122 286,Киа, 2.5,5,бензин,2 299 000,194,0,- мест,-----
320 000,Мерседес, 3.0,2014,бензин,3 090 000,333,0,- мест,-----
23 000,Рено, 1.6,2013,бензин,1 350 000,102,0,- мест,-----
375 000,Тойота, 2.2,2000,бензин,590 000,140,0,- мест,-----
303 055,Мазда, 2.0,5,бензин,1 273 000,150,6.2,5,МКПП
238 000,Тойота, 2.4,2010,бензин,1 500 000,170,0,7,Вариатор
86 000,Тойота, 2.5,2018,бензин,2 777 000,181,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
80 000,Хонда, 1.5,2018,бензин,1 925 000,182,5.6,5,Вариатор
,---,,0,-,No price,---,0,- мест,-----
100 000,Мерседес, 3.5,2013,бензин,1 800 000,249,10.4,5,АКПП
102 519,Шкода,---,2018,1.6 л,1 120 000,---,0,- мест,-----
111 437,Ниссан, 2.0,2021,бензин,1 750 000,149,0,- мест,-----
147 000,Тойота, 2.4,2014,бензин,3 150 000,150,5.9,7,Вариатор
171 305,Мерседес, 4.0,2017,бензин,4 780 000,469,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
220 000,Фольксваген, 1.8,1,бензин,200 000,75,7.6,5,МКПП
27 630,Сузуки, 1.5,2022,бензин,1 950 000,105,0,- мест,-----
17 754,Джили, 1.5,2023,бензин,2 150 000,150,6.1,5,Робот
137 000,LADA, 1.6,2021,бензин,950 000,87,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
403 398,Ауди, 1.8,4,бензин,500 000,160,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
195 000,Опель, 1.6,2012,бензин,650 000,115,0,- мест,-----
104 000,Фольксваген, 1.6,2020,бензин,1 800 000,110,0,- мест,-----
139 300,Киа, 1.6,2014,бензин,1 200 000,129,6.8,5,АКПП
250 000,Лада, 1.5,2111,бензин,120 000,91,0,- мест,-----
260 000,Тойота, 1.5,2008,бензин,865 000,76,5.1,5,Вариатор
,---,,0,-,No price,---,0,- мест,-----
24 500,Рено, 1.5,2017,дизель,1 680 000,109,5.3,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
354 000,Мерседес, 2.3,1992,бензин,75 000,132,0,- мест,-----
268 000,Тойота, 1.8,2000,бензин,850 000,192,0,- мест,-----
100 000,Джип, 4.2,1980,бензин,299 999,112,13.8,6,МКПП
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
160 000,Опель, 1.5,2020,дизель,1 599 000,122,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
65 502,Киа, 1.6,2021,бензин,2 150 000,128,0,- мест,-----
157 278,Киа, 2.0,2018,бензин,1 900 000,150,0,- мест,-----
18 132,Воях,,2022,-,4 550 000,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
278 000,Джип, 3.0,2007,дизель,1 185 000,218,0,- мест,-----
73 666,Хендай, 1.6,2019,бензин,1 650 000,123,6.6,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
123 099,Peugeot, 1.6,408,бензин,825 000,120,7.4,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
198 179,Хендай, 1.6,2017,бензин,1 465 000,128,0,- мест,-----
140 000,Хендай, 1.7,40,дизель,1 370 000,136,6.0,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
38 000,Хендай, 1.6,2018,бензин,1 790 000,123,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
292 603,Фольксваген, 2.5,2008,дизель,1 691 000,131,0,- мест,-----
204 000,Мерседес, 2.1,2014,дизель,1 799 000,170,6.5,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
194 000,Хендай, 1.6,2015,бензин,1 050 000,123,6.5,5,АКПП
13 845,Фольксваген, 2.0,2022,бензин,3 149 000,186,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
278 604,Вольво, 2.4,90,дизель,1 838 000,185,0,- мест,-----
66 343,Шкода, 1.6,2017,бензин,1 460 000,90,0,- мест,-----
180,Шевроле, 1.2,2023,бензин,1 849 000,132,0,- мест,-----
64 000,БМВ, 3.0,6,дизель,6 500 000,313,6.3,5,АКПП
154 000,Сузуки, 1.6,4,бензин,799 000,107,0,- мест,-----
101 661,Ниссан, 2.0,2021,бензин,2 199 000,144,0,- мест,-----
19 555,Хавейл, 2.0,2023,бензин,2 849 000,192,0,- мест,-----
33 946,Форд, 1.6,2017,бензин,1 129 000,105,5.9,5,Робот
86 853,Peugeot, 1.6,3008,бензин,2 034 140,150,0,- мест,-----
186 328,Мерседес, 3.5,2013,бензин,2 300 000,249,7.5,5,АКПП
10 000,Порше, 4.5,2006,бензин,2 000 000,450,15.7,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
160 000,Тойота, 2.0,1992,бензин,450 000,225,0,- мест,-----
70 000,Фольксваген, 1.6,2020,бензин,1 469 000,110,0,- мест,-----
249 496,Ауди, 3.0,5,дизель,1 550 000,239,0,- мест,-----
144 542,Опель, 1.6,2010,бензин,750 000,115,0,- мест,-----
22 000,Джили, 1.5,2021,бензин,1 899 000,150,6.1,5,Робот
390 000,Форд, 2.0,2007,бензин,370 000,145,0,- мест,-----
82 000,Вольво, 2.0,90,бензин,5 099 000,249,0,- мест,-----
50 188,Хавейл, 2.0,2023,бензин,2 700 000,192,0,- мест,-----
78 562,Мазда, 2.5,5,бензин,2 500 000,192,0,- мест,-----
178 000,Форд, 1.8,2008,бензин,600 000,125,7.0,5,МКПП
100,Чанган, 2.0,2023,бензин,3 250 000,226,8.4,5,АКПП
145 373,Киа, 1.6,2009,бензин,620 000,122,0,- мест,-----
54 266,Рено, 1.5,2021,дизель,2 050 000,109,0,- мест,-----
253 732,БМВ, 2.5,3,бензин,1 170 000,218,9.0,4 ,АКПП
183 138,Фольксваген, 2.0,2013,дизель,1 370 000,140,0,- мест,-----
30 000,Ленд, 2.0,2020,дизель,5 150 000,180,0,- мест,-----
268 712,LADA, 1.6,2013,бензин,399 990,98,0,- мест,-----
10,ГАК, 2.0,8,бензин,5 400 000,231,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
147 000,Опель, 1.6,2015,бензин,1 240 000,170,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
35 600,Рено, 1.6,2019,бензин,1 310 000,102,8.6,5,АКПП
127 000,Фольксваген, 1.6,2014,бензин,1 050 000,105,0,- мест,-----
232 000,Ленд, 3.0,2013,дизель,3 690 000,249,8.6,5,АКПП
337 000,Мерседес, 2.8,1998,бензин,550 000,204,11.0,5,АКПП
143 000,Хендай, 2.0,35,бензин,1 330 000,150,8.8,5,АКПП
25 800,Киа, 1.0,2021,бензин,1 800 000,100,0,- мест,-----
45 569,Киа, 2.0,2022,бензин,2 590 000,150,8.0,5,АКПП
107 815,Шкода, 1.6,2015,бензин,1 390 000,110,0,- мест,-----
56 000,Хавейл, 1.5,2021,бензин,1 795 000,143,0,- мест,-----
97 000,LADA, 1.6,2016,бензин,670 000,106,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
150,Ниссан,---,2024,гибрид,4 699 000,---,0,- мест,-----
128 000,Фольксваген, 2.0,2017,бензин,2 899 000,220,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
57 000,Фольксваген, 1.6,1986,дизель,79 990,70,0,- мест,-----
243 000,Форд, 1.6,2008,бензин,419 000,100,6.7,5,МКПП
235 000,БМВ, 2.0,3,бензин,879 000,136,0,- мест,-----
150 000,Тойота, 4.7,2010,бензин,3 499 000,288,14.4,7,АКПП
80 000,Субару, 2.0,1995,бензин,290 000,220,0,5,МКПП
110 920,Мерседес, 1.6,2018,бензин,2 599 000,150,5.9,5,Робот
91 200,Шкода, 2.0,2021,бензин,3 299 000,190,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
112 056,Хендай, 1.6,2020,бензин,1 300 000,123,0,- мест,-----
444 844,Тойота, 2.0,2001,бензин,800 000,160,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
62 000,Опель, 1.8,2015,бензин,1 100 000,140,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
210 890,Форд, 1.4,2005,бензин,379 000,80,0,- мест,-----
160 000,Киа, 2.0,2020,бензин,2 300 000,150,8.3,5,АКПП
237 000,Хендай, 1.6,2010,бензин,680 000,123,6.0,5,МКПП
133 246,Volvo, 2.0,60,бензин,3 550 000,250,0,- мест,-----
123 016,БМВ, 2.0,1,дизель,1 800 000,184,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
5 000,Хавейл, 1.5,2023,бензин,2 269 000,150,8.2,5,Робот
108 300,Мазда, 2.0,6,бензин,1 289 000,147,0,- мест,-----
143 931,Ситроен, 2.4,2012,бензин,1 229 000,170,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
168 006,Фольксваген, 1.4,2012,бензин,899 000,122,0,- мест,-----
90 458,Мерседес, 2.1,2018,дизель,4 379 000,136,0,- мест,-----
292 800,Киа, 3.3,2007,бензин,889 000,248,0,- мест,-----
253 000,Шевроле, 1.6,2007,бензин,425 000,90,0,- мест,-----
20 366,Омода, 1.5,5,бензин,2 070 000,147,0,- мест,-----
185 939,Мерседес, 1.7,2011,бензин,850 000,116,0,- мест,-----
199 955,Форд, 1.6,2011,бензин,700 000,125,0,- мест,-----
195 000,Шевроле, 1.2,2007,бензин,400 000,72,6.6,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
118 000,LADA, 1.6,2016,бензин,589 000,106,0,- мест,-----
170 590,Шкода, 1.6,2018,бензин,970 000,90,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
110 862,Ниссан, 1.6,2010,бензин,800 000,110,0,- мест,-----
58 000,Хендай, 1.6,2022,бензин,1 880 000,123,0,- мест,-----
110 000,Киа, 1.6,2021,бензин,1 900 000,128,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
280 000,Хендай, 1.6,2014,бензин,1 090 000,123,6.5,5,АКПП
14 801,Чери, 1.3,1,бензин,275 000,83,8.0,5,МКПП
127 000,Форд, 1.6,2011,бензин,839 000,105,0,- мест,-----
166 000,Хендай, 1.6,2015,бензин,1 659 000,177,0,- мест,-----
214 000,Хендай, 2.0,2011,бензин,979 000,150,0,- мест,-----
195 500,Форд, 2.0,2010,дизель,1 200 000,140,7.2,5,АКПП
183 000,Форд, 2.0,2013,дизель,1 319 000,140,0,- мест,-----
137 000,Шевроле, 1.8,2012,бензин,899 000,141,0,- мест,-----
85 000,Киа, 2.2,2018,дизель,3 299 000,202,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
115 000,Шкода, 1.6,2019,бензин,1 299 000,90,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
60 000,Рено, 1.6,2019,бензин,1 165 000,102,0,- мест,-----
94 947,LADA, 1.6,2020,бензин,1 298 600,106,0,- мест,-----
162 284,Рено, 1.6,2020,бензин,1 396 800,114,0,- мест,-----
181 000,Мерседес, 1.8,2011,бензин,1 395 000,156,0,- мест,-----
83 100,Шкода, 1.6,2021,бензин,1 730 000,110,0,- мест,-----
77 533,Форд, 1.6,2011,бензин,950 000,125,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
121 657,Шкода, 1.4,2021,бензин,2 350 000,150,0,- мест,-----
17 557,Джили, 1.5,2023,бензин,2 270 000,147,0,- мест,-----
318 000,Ситроен, 2.4,2011,бензин,825 000,170,9.3,5,Вариатор
194 020,Лексус, 2.7,270,бензин,2 850 000,188,9.8,5,АКПП
243 000,Форд, 1.4,2007,бензин,499 000,80,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
150 385,Peugeot, 1.6,408,бензин,620 000,150,0,- мест,-----
89 000,Форд, 2.0,2014,дизель,1 370 000,140,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
40 546,Хендай, 2.2,2021,дизель,4 100 000,200,0,- мест,-----
140 500,Киа, 2.5,5,бензин,2 680 000,194,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
253 000,Сузуки, 1.6,4,бензин,450 000,107,6.7,5,МКПП
20 000,Джили, 1.5,2022,бензин,1 990 000,150,6.1,5,Робот
161 000,Опель, 1.6,2012,бензин,890 000,115,0,- мест,-----
5 515,Джили, 1.5,2024,бензин,2 560 000,177,6.8,5,Робот
269 000,Акура, 2.3,2006,бензин,990 000,240,0,- мест,-----
183 000,Рено, 1.6,2014,бензин,759 000,103,8.6,5,АКПП
110 000,Мерседес, 2.0,2015,бензин,1 649 000,184,0,- мест,-----
350 000,Тойота, 3.0,2000,дизель,700 000,130,0,- мест,-----
57 000,Лада, 1.6,2106,бензин,55 000,75,0,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
110 580,Хендай, 2.0,2019,бензин,2 449 000,150,0,- мест,-----
150 000,Лада, 1.6,2107,бензин,110 000,74,8.5,5,МКПП
5 665,Вольво, 2.0,60,бензин,5 500 000,249,0,- мест,-----
12 000,Ниссан, 2.0,2021,бензин,2 650 000,144,7.0,5,Вариатор
,---,,0,-,No price,---,0,- мест,-----
210 000,Фольксваген, 1.6,2013,бензин,800 000,105,0,- мест,-----
91 649,Фольксваген, 2.0,2021,бензин,3 300 000,180,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
91 452,Тойота, 1.0,2017,бензин,1 300 000,69,0,- мест,-----
63 780,Лада, 1.5,2105,бензин,95 000,71,8.8,5,МКПП
1,Тесла,---,2024,электро,49 999 999,845,0,6,Редуктор
361 000,Шевроле, 1.7,2015,бензин,290 000,80,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
175 414,Шевроле, 1.7,2017,бензин,689 000,80,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
240 000,Рено, 1.6,2018,бензин,1 250 000,114,0,- мест,-----
77 000,Фольксваген, 1.4,2021,бензин,2 799 000,150,0,- мест,-----
461 000,Фольксваген, 2.4,1991,дизель,380 000,78,0,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
145 000,Киа, 2.0,2015,бензин,1 499 000,150,0,- мест,-----
42 000,Ауди, 4.0,8,дизель,12 990 000,422,8.3,5,АКПП
226 000,Тойота, 2.0,2018,бензин,2 250 000,150,7.1,5,АКПП
224 100,Мицубиси, 1.6,2001,бензин,200 000,98,0,5,МКПП
285 000,Тойота, 1.5,2000,бензин,245 000,100,0,5,АКПП
13 566,Хавейл, 1.5,7,бензин,2 250 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
238 000,Грейт, 2.4,5,бензин,499 000,127,0,- мест,-----
113 600,LADA, 1.6,2008,бензин,300 000,98,7.2,5,МКПП
191 000,Тойота, 2.5,0,бензин,1 800 000,181,0,- мест,-----
255 000,Мазда, 2.0,5,бензин,1 549 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
9 400,Чанган, 1.4,35,бензин,1 970 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
26 624,Киа, 2.0,2019,бензин,2 860 000,150,0,- мест,-----
178 447,Шкода, 1.4,2012,бензин,790 000,86,6.4,5,МКПП
243 109,Ситроен, 2.0,5,дизель,1 050 000,138,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
220 000,Рено, 2.5,2010,бензин,999 999,177,9.7,5,АКПП
57 216,Тойота, 2.0,4,бензин,2 875 000,146,0,- мест,-----
12 872,Шкода, 1.4,2020,бензин,2 895 000,150,0,- мест,-----
105 622,Тойота, 2.5,2018,бензин,2 395 000,181,0,- мест,-----
163 000,Ниссан, 2.0,2015,бензин,1 099 900,135,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
212 000,Ауди, 3.0,6,бензин,1 459 900,300,8.2,5,Робот
338 651,Субару, 2.5,2008,бензин,950 000,173,0,- мест,-----
,Лада, 1.5,2107,бензин,95 000,71,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
378 000,Шкода, 1.6,1997,бензин,200 000,75,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
199 863,Шевроле, 1.6,2012,бензин,660 000,109,8.1,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
300 000,БМВ, 2.0,5,бензин,450 000,150,0,- мест,-----
221 956,Форд, 1.6,2014,бензин,790 000,125,6.0,5,МКПП
220 000,Рено, 1.4,2006,бензин,230 000,75,0,- мест,-----
190 000,Peugeot, 1.4,207,бензин,420 000,88,5.2,5,Робот
78 800,LADA, 1.6,2013,бензин,520 000,87,7.0,5,МКПП
73 207,Эксид, 2.0,2022,бензин,2 690 000,249,8.5,7,Робот
,---,,0,-,No price,---,0,- мест,-----
14 261,Рено, 1.6,2021,бензин,2 070 000,117,0,- мест,-----
158 443,Хендай, 2.0,2018,бензин,1 739 000,150,0,- мест,-----
